"user_type","avg_temp","precipitation","total_trips"
"Customer",42,"0.05","10"
"Customer",48,"0.01","10"
"Customer",54,"0.55","9"
NULL,45,"0","9"
"Customer",48,"0.38","9"
"Customer",45,"0.02","9"
"Customer",54,"0.03","9"
NULL,68,"0","9"
"Customer",40,"0.09","8"
"Customer",27,"0.03","8"
"Customer",54,"0.01","8"
"Customer",37,"0.02","7"
"Customer",52,"0.62","7"
"Customer",61,"0.04","7"
NULL,75,"0.01","7"
"Customer",19,"0","7"
"Customer",27,"0","7"
NULL,56,"0","7"
NULL,53,"0.2","7"
"Customer",34,"0","7"
NULL,41,"0.49","7"
"Customer",53,"0.09","7"
NULL,62,"0","6"
"Customer",56,"1.07","6"
"Customer",54,"0.05","6"
"Customer",48,"0.61","6"
"Customer",42,"0.44","6"
NULL,43,"0","6"
NULL,48,"0","6"
NULL,58,"0","6"
"Customer",74,"1.03","6"
NULL,67,"0","6"
NULL,83,"0.01","6"
"Customer",48,"0.52","5"
NULL,60,"0","5"
NULL,42,"0.23","5"
"Customer",38,"0.07","5"
"Customer",33,"0.12","5"
"Customer",53,"2.02","5"
NULL,53,"0","5"
"Customer",31,"0","5"
"Customer",47,"0.12","4"
NULL,70,"0","4"
"Customer",43,"0.16","4"
NULL,59,"0.31","4"
NULL,81,"0","4"
"Customer",59,"0.31","4"
NULL,31,"0","4"
NULL,20,"0","4"
NULL,76,"0","4"
NULL,38,"0","4"
"Customer",35,"0.02","4"
"Customer",18,"0.42","3"
"Customer",25,"0","3"
NULL,74,"0","3"
"Customer",41,"0.44","3"
"Customer",56,"0.13","3"
NULL,48,"0.01","3"
NULL,41,"0","3"
NULL,54,"0","3"
NULL,51,"0","3"
NULL,57,"0","3"
NULL,68,"0.22","3"
"Customer",42,"0.23","3"
NULL,63,"0","3"
NULL,42,"0.07","3"
NULL,60,"0.48","3"
NULL,59,"0","3"
"Customer",31,"0.02","3"
NULL,63,"0.17","2"
"Customer",20,"0","2"
NULL,25,"0","2"
NULL,29,"0.71","2"
NULL,34,"0","2"
NULL,39,"0","2"
NULL,44,"0","2"
"Customer",38,"0.36","2"
NULL,46,"0","2"
"Customer",8,"0","2"
NULL,53,"0.09","2"
NULL,54,"0.55","2"
NULL,55,"0","2"
NULL,89,"0","2"
NULL,61,"0","2"
NULL,64,"0","2"
NULL,65,"0","2"
NULL,65,"0.92","2"
NULL,66,"0","2"
"Customer",45,"0.65","2"
NULL,78,"0.01","2"
NULL,80,"0.1","2"
"Customer",29,"0","2"
"Customer",42,"0.07","1"
NULL,58,"0.16","1"
NULL,69,"0","1"
NULL,57,"0.11","1"
NULL,38,"0.36","1"
NULL,56,"0.13","1"
"Customer",41,"0.49","1"
NULL,55,"0.2","1"
NULL,51,"0.01","1"
NULL,75,"0.21","1"
"Customer",38,"0.48","1"
NULL,48,"0.38","1"
NULL,78,"0","1"
"Customer",31,"0.01","1"
NULL,83,"0","1"
NULL,43,"0.16","1"
NULL,40,"0","1"
NULL,62,"0.29","1"
"Customer",26,"0.03","1"
NULL,80,"0.13","1"
NULL,43,"0.03","1"
NULL,81,"0.05","1"
"Customer",30,"0.01","1"
NULL,87,"0","1"
NULL,84,"1.84","1"
